    Transaction Date   Post Date                    Description            Category        Type   Amount  Memo              Category_LLM                                                                                                      LLM Answer
31        12/18/2023  12/19/2023      SPEEDWAY 01829 705 CORWIN                 Gas        Sale    -1.69   NaN                 NO_ANSWER                                                                                                                
32        12/18/2023  12/19/2023        LOVELAND KIDS CHILDCARE            Personal        Sale  -305.00   NaN                   MEDICAL                                                          MEDICAL OR RECREATION, DEPENDING ON WHETHER IT'S A DAY
33        12/16/2023  12/19/2023         BROOKVILLE COUNTRYMARK                 Gas        Sale    -2.66   NaN  GAS_OR_CONVENIENCE_STORE                                                                       GAS_OR_CONVENIENCE_STORE. THE DESCRIPTION
34        12/18/2023  12/19/2023         Amazon Kids+*RV4CY28E3            Shopping        Sale    -5.33   NaN           ONLINE_PURCHASE                                                        ONLINE_PURCHASE (SINCE AMAZON KIDS+ IS A SERVICE OFFERED
35        12/18/2023  12/19/2023         AMZN Mktp US*XH03X6583            Shopping        Sale    -5.96   NaN                 NO_ANSWER               THIS TRANSACTION DESCRIPTION IS LIKELY RELATED TO AN ONLINE PURCHASE FROM AMAZON, AS INDICATED BY
36        12/18/2023  12/19/2023                         KROGER           Groceries        Sale  -109.66   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
37        12/18/2023  12/19/2023           Amazon.com*PD3FJ13U3            Shopping        Sale   -11.21   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
38        12/16/2023  12/18/2023         COBBLESTONE BROOKVILLE              Travel        Sale   -12.00   NaN                RECREATION                                                                                                      RECREATION
39        12/16/2023  12/17/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
40        12/16/2023  12/17/2023                 APPLE.COM/BILL            Shopping        Sale   -12.78   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
41        12/16/2023  12/17/2023      SPEEDWAY 01829 705 CORWIN                 Gas        Sale   -33.21   NaN                 NO_ANSWER                                                                                                                
42        12/17/2023  12/17/2023                CHIPOTLE ONLINE        Food & Drink        Sale   -47.50   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
43        12/15/2023  12/17/2023         COBBLESTONE BROOKVILLE              Travel        Sale  -100.42   NaN                RECREATION                                                                                                      RECREATION
44        12/14/2023  12/17/2023               FREDDY'S 90-0006        Food & Drink        Sale   -11.49   NaN                RESTAURANT                                                                                                      RESTAURANT
45        12/15/2023  12/17/2023      SQ *GIT R DONE CONCESSION        Food & Drink        Sale   -35.00   NaN                RECREATION                                                   RECREATION. THIS IS A CONCESSION STAND, WHICH FALLS UNDER THE
46        12/16/2023  12/17/2023          DD DOORDASH PENNSTATI        Food & Drink        Sale   -36.48   NaN                RESTAURANT                                RESTAURANT. THIS TRANSACTION DESCRIPTION SUGGESTS A FOOD DELIVERY SERVICE, WHICH
47        12/15/2023  12/15/2023         PANERA BREAD #204922 O        Food & Drink        Sale    -7.95   NaN                RESTAURANT                                                                                                      RESTAURANT
48        12/14/2023  12/15/2023         AMZN Mktp US*QR80A9393            Shopping        Sale   -19.22   NaN           ONLINE_PURCHASE                                                  THIS TRANSACTION IS LIKELY AN ONLINE_PURCHASE AS IT APPEARS TO
49        12/13/2023  12/15/2023                         KROGER           Groceries        Sale  -179.64   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
50        12/14/2023  12/15/2023         AMZN Mktp US*7A65D2GK3            Shopping        Sale   -18.13   NaN                 NO_ANSWER                                                           BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*7A
51        12/14/2023  12/15/2023               KROGER FUEL 4383                 Gas        Sale   -37.47   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
52        12/14/2023  12/15/2023           Amazon.com*197ED8CG3            Shopping        Sale   -19.09   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
53        12/13/2023  12/14/2023          DD DOORDASH NOODLESCO        Food & Drink        Sale   -71.02   NaN                RESTAURANT                                                                                                      RESTAURANT
54        12/13/2023  12/14/2023                 APPLE.COM/BILL            Shopping        Sale    -7.45   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
55        12/12/2023  12/14/2023          SHELL OIL 57445097702                 Gas        Sale   -16.40   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
56        12/13/2023  12/14/2023         Prime Video *321OS1HX3            Shopping        Sale   -21.23   NaN           ONLINE_PURCHASE                                              ONLINE_PURCHASE. THIS TRANSACTION IS LIKELY FOR AN ONLINE PURCHASE
57        12/13/2023  12/14/2023           DD DOORDASH TACOCASA        Food & Drink        Sale   -17.34   NaN                RESTAURANT                                                    RESTAURANT. THE GIVEN TRANSACTION DESCRIPTION "DD DOORDASH T
58        12/13/2023  12/14/2023                     DisneyPLUS   Bills & Utilities        Sale   -26.68   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
59        12/12/2023  12/13/2023         AMZN Mktp US*HN15O89R3            Shopping        Sale   -10.65   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
60        12/12/2023  12/13/2023                   PRETTYLITTER            Shopping        Sale   -47.08   NaN                RECREATION                                                                                  RESTACTIONCATEGORY: RECREATION
61        12/11/2023  12/13/2023        LOVELAND KIDS CHILDCARE            Personal        Sale  -305.00   NaN                   MEDICAL                                                          MEDICAL OR RECREATION, DEPENDING ON WHETHER IT'S A DAY
62        12/13/2023  12/13/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
63        12/12/2023  12/13/2023           Amazon.com*Z60YH2093            Shopping        Sale   -13.07   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
64        12/11/2023  12/12/2023   SPEEDWAY 01224 2423 LOVELAND                 Gas        Sale    -7.66   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
65        12/12/2023  12/12/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
66        12/11/2023  12/12/2023         AMZN Mktp US*FF3Y91853            Shopping        Sale   -33.92   NaN                 NO_ANSWER                                                          BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*FF3
67        12/11/2023  12/12/2023          DD DOORDASH JERSEYMIK        Food & Drink        Sale   -24.17   NaN                RESTAURANT                                                    RESTAURANT. THE TRANSACTION DESCRIPTION "DD DOORDASH JERSEYM
68        12/11/2023  12/12/2023               MCDONALD'S F7033        Food & Drink        Sale   -22.53   NaN                RESTAURANT                                                                                                      RESTAURANT
69        12/11/2023  12/12/2023           Amazon.com*JB11Q3AY3            Shopping        Sale   -20.91   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
70        12/12/2023  12/12/2023       THE DISNEY BUNDLE CREDIT  Fees & Adjustments  Adjustment    14.99   NaN           ONLINE_PURCHASE                           ONLINE_PURCHASE. THIS TRANSACTION IS LIKELY FOR A SUBSCRIPTION OR ONGOING SERVICE AND
71        12/11/2023  12/11/2023                CHIPOTLE ONLINE        Food & Drink        Sale   -27.02   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
72        12/10/2023  12/11/2023           Amazon.com*J49IE8H43            Shopping        Sale   -10.12   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
73        12/11/2023  12/11/2023           THE CHILDREN'S PLACE            Shopping        Sale   -47.30   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
74         12/8/2023  12/10/2023                      SUPER WOK        Food & Drink        Sale   -27.36   NaN                RESTAURANT                                                     RESTAURANT. THIS IS A CHINESE RESTAURANT, SO IT FALLS UNDER
75         12/9/2023  12/10/2023          DD DOORDASH CATCH-A-F        Food & Drink        Sale   -41.92   NaN                RESTAURANT                                                                                                      RESTAURANT
76         12/7/2023  12/10/2023          SHELL OIL 57445097702                 Gas        Sale   -32.26   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
77         12/8/2023  12/10/2023                 APPLE.COM/BILL            Shopping        Sale   -10.64   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
78         12/7/2023  12/10/2023                         KROGER           Groceries        Sale   -89.26   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
79         12/9/2023  12/10/2023         AMZN Mktp US*MR3W94B53            Shopping        Sale   -27.52   NaN                 NO_ANSWER                                                          BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*MR3
80         12/7/2023   12/8/2023                EL RANCHO NUEVO        Food & Drink        Sale   -60.10   NaN                RESTAURANT                                                           RESTAURANT OR RECREATION, IT COULD BE A RESTAURANT OR
81         12/7/2023   12/8/2023           DD DOORDASH FIRSTWOK        Food & Drink        Sale   -22.31   NaN                RESTAURANT                                                     RESTAURANT. THE TRANSACTION DESCRIPTION "DD DOORDASH FIRSTW
82         12/6/2023   12/7/2023          USPS.COM POSTAL STORE            Shopping        Sale   -41.25   NaN                 NO_ANSWER                                                                      POST_OFFICE (ASSUMING USPS.COM IS A POSTAL
83         12/6/2023   12/7/2023          LGC*DOORDASH GIFTCARD            Shopping        Sale   -90.00   NaN                RECREATION                                                  RECREATION (ASSUMING LGC STANDS FOR A RECREATIONAL FACILITY OR
84         12/6/2023   12/7/2023         AMZN Mktp US*ZU45L4NO3            Shopping        Sale   -17.07   NaN                 NO_ANSWER                                                           BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*ZU
85         12/6/2023   12/7/2023      SPEEDWAY 01829 705 CORWIN                 Gas        Sale   -11.05   NaN                 NO_ANSWER                                                                                                                
86         12/6/2023   12/7/2023                 APPLE.COM/BILL            Shopping        Sale    -3.19   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
87         12/7/2023   12/7/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.51   NaN                RESTAURANT                                                                                                      RESTAURANT
88         12/6/2023   12/7/2023          DD DOORDASH MCDONALDS        Food & Drink        Sale   -30.16   NaN                RESTAURANT                                                                                                      RESTAURANT
89         12/6/2023   12/7/2023         Amazon Digit*C21B374G3            Shopping        Sale    -3.19   NaN                 NO_ANSWER                                             BASED ON THE GIVEN DESCRIPTION "AMAZON DIGIT", IT IS MOST LIKELY AN
90         12/6/2023   12/6/2023       Payment Thank You-Mobile                 NaN     Payment    90.00   NaN                 NO_ANSWER                                      BILL PAY. THE DESCRIPTION "PAYMENT THANK YOU-MOBILE" SUGGESTS THAT THIS IS
91         12/6/2023   12/6/2023         PANERA BREAD #204922 O        Food & Drink        Sale    -8.37   NaN                RESTAURANT                                                                                                      RESTAURANT
92         12/5/2023   12/6/2023        LOVELAND KIDS CHILDCARE            Personal        Sale  -305.00   NaN                   MEDICAL                                                          MEDICAL OR RECREATION, DEPENDING ON WHETHER IT'S A DAY
93         12/6/2023   12/6/2023                CHIPOTLE ONLINE        Food & Drink        Sale   -36.04   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
94         12/5/2023   12/6/2023           Amazon.com*T49CB8BU3            Shopping        Sale    -8.53   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
95         12/5/2023   12/6/2023           Amazon.com*NQ3194WF3            Shopping        Sale   -16.00   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
96         12/5/2023   12/5/2023        Payment Thank You - Web                 NaN     Payment  3030.82   NaN                 NO_ANSWER                                         BILL PAY. BASED ON THE GIVEN DESCRIPTION, IT SEEMS TO BE A STATEMENT OR
97         12/5/2023   12/5/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
98         12/4/2023   12/5/2023                         KROGER           Groceries        Sale   -43.97   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
99         12/3/2023   12/5/2023              TACO BELL #015425        Food & Drink        Sale   -11.04   NaN                RESTAURANT                                                                                                      RESTAURANT
100        12/3/2023   12/4/2023          DD DOORDASH JERSEYMIK        Food & Drink        Sale   -39.62   NaN                RESTAURANT                                                    RESTAURANT. THE TRANSACTION DESCRIPTION "DD DOORDASH JERSEYM
101        12/2/2023   12/3/2023                SUNOCO FOODMART           Groceries        Sale   -21.23   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
102       11/30/2023   12/3/2023                         KROGER           Groceries        Sale  -135.23   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
103        12/1/2023   12/3/2023          DD DOORDASH CHILANGOF        Food & Drink        Sale   -24.36   NaN                RESTAURANT                                                                                                      RESTAURANT
104        12/2/2023   12/3/2023                    Subway 2594        Food & Drink        Sale   -12.96   NaN                RESTAURANT                                                                                                      RESTAURANT
105        12/1/2023   12/3/2023         AMZN Mktp US*CM6KZ0N93            Shopping        Sale   -16.97   NaN                 NO_ANSWER                                                          BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*CM6
106        12/2/2023   12/3/2023           Amazon.com*HH9F56ZR3            Shopping        Sale    -5.86   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
107        12/2/2023   12/3/2023           Amazon.com*QZ1084W73            Shopping        Sale   -27.71   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
108        12/1/2023   12/3/2023         Offer:Panera Bread (in  Fees & Adjustments  Adjustment     0.80   NaN              RETAIL_STORE                                                                                                   RETAIL_STORE)
109        12/2/2023   12/3/2023          DD DOORDASH BUFFALOWI        Food & Drink        Sale   -46.42   NaN                RESTAURANT                                                                                                      RESTAURANT
110        12/1/2023   12/3/2023         AMZN Mktp US*5652R6JJ3            Shopping        Sale   -10.66   NaN                 NO_ANSWER                                                           BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*56
111        12/1/2023   12/3/2023      SPEEDWAY 01829 705 CORWIN                 Gas        Sale   -27.87   NaN                 NO_ANSWER                                                                                                                
112       11/30/2023   12/1/2023                THE MASON GRILL        Food & Drink        Sale   -18.18   NaN                RESTAURANT                                                                                                      RESTAURANT
113       11/30/2023   12/1/2023        LOVELAND KIDS CHILDCARE            Personal        Sale  -305.00   NaN                   MEDICAL                                                          MEDICAL OR RECREATION, DEPENDING ON WHETHER IT'S A DAY
114        12/1/2023   12/1/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
115       11/28/2023  11/30/2023           Tony's of Cincinnati        Food & Drink        Sale  -192.62   NaN                RESTAURANT                                                                                                      RESTAURANT
116       11/29/2023  11/30/2023                WALGREENS #1281   Health & Wellness        Sale    -5.00   NaN                   GROCERY                                                     GROCERY OR PHARMACY? SINCE THE DESCRIPTION DOES NOT SPECIFY
117       11/29/2023  11/29/2023         PANERA BREAD #204922 O        Food & Drink        Sale   -10.08   NaN                RESTAURANT                                                                                                      RESTAURANT
118       11/28/2023  11/29/2023             AIRBNB  HM4Q3SPB8Y              Travel        Sale  -199.71   NaN                    TRAVEL                                                                                                          TRAVEL
119       11/27/2023  11/29/2023         LIBERTY CENTER PARKING            Shopping        Sale    -1.50   NaN                RECREATION                                                                   RECREATION OR BILL_PAY DEPENDING ON IF IT'S A
120       11/28/2023  11/29/2023                SPI*DUKE-ENERGY   Bills & Utilities        Sale  -190.27   NaN                 NO_ANSWER                                        UTILITY - THIS TRANSACTION IS LIKELY TO BE A UTILITY BILL PAYMENT AS THE
121       11/28/2023  11/29/2023               KROGER FUEL 4426                 Gas        Sale   -41.40   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
122       11/28/2023  11/29/2023      TST* ELEMENT EATERY - STA        Food & Drink        Sale   -19.83   NaN                RESTAURANT                                                                                                      RESTAURANT
123       11/28/2023  11/29/2023                 APPLE.COM/BILL            Shopping        Sale    -2.99   NaN                  BILL_PAY                                            BASED ON THE DESCRIPTION, THIS TRANSACTION FALLS UNDER THE "BILL_PAY
124       11/28/2023  11/29/2023         AMZN Mktp US*LP7TF41J3            Shopping        Sale   -21.62   NaN                 NO_ANSWER             THIS TRANSACTION DESCRIPTION SUGGESTS AN ONLINE PURCHASE FROM AMAZON, SO THE BEST CATEGORY WOULD BE
125       11/28/2023  11/29/2023         AMZN Mktp US*759ML8OM3            Shopping        Sale   -16.62   NaN                 NO_ANSWER                THIS TRANSACTION DESCRIPTION SUGGESTS AN ONLINE PURCHASE FROM AMAZON, SO THE BEST CATEGORY IS ON
126       11/28/2023  11/29/2023              PAPA JOHN'S #3181        Food & Drink        Sale   -33.07   NaN                RESTAURANT                                                                                                      RESTAURANT
127       11/28/2023  11/29/2023                 DUNKIN #359737        Food & Drink        Sale    -2.98   NaN                RESTAURANT                                        RESTAURANT. THIS TRANSACTION DESCRIPTION SUGGESTS A PURCHASE FROM DUNKIN
128       11/27/2023  11/28/2023                T.J. MAXX #1550            Shopping        Sale   -54.37   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
129       11/27/2023  11/28/2023                  POPEYES 13914        Food & Drink        Sale   -10.44   NaN                RESTAURANT                                                                                                      RESTAURANT
130       11/28/2023  11/28/2023           Amazon.com*IH6CL9P83            Shopping        Sale    -9.59   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
131       11/28/2023  11/28/2023         PANERA BREAD #204922 O        Food & Drink        Sale    -7.95   NaN                RESTAURANT                                                                                                      RESTAURANT
132       11/28/2023  11/28/2023         AMZN Mktp US*WP5YY7QX3            Shopping        Sale   -20.89   NaN                 NO_ANSWER                                                          BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*WP5
133       11/27/2023  11/28/2023                     Amazon.com            Shopping      Return     8.87   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
134       11/28/2023  11/28/2023                   AMZN Mktp US            Shopping      Return    29.88   NaN                 NO_ANSWER                                                  BASED ON THE GIVEN TRANSACTION DESCRIPTION "AMZN MKTP US", THE
135       11/27/2023  11/28/2023                     KROGER 408           Groceries        Sale   -24.73   NaN                   GROCERY                                                                                                         GROCERY
136       11/26/2023  11/28/2023      BLVD   *SIT STILL KIDS SA            Personal        Sale   -49.20   NaN                RECREATION                                                                                                      RECREATION
137       11/26/2023  11/27/2023           UNITED DAIRY FARMERS                 Gas        Sale    -3.19   NaN                 NO_ANSWER                               THE BEST CATEGORY FOR A CREDIT CARD TRANSACTION WITH THE DESCRIPTION "UNITED DAIR
138       11/25/2023  11/27/2023            AUNTIE ANNE'S OH123        Food & Drink        Sale   -16.97   NaN                RESTAURANT                      RESTAURANT (THIS TRANSACTION DESCRIPTION SUGGESTS A RESTAURANT OR FOOD ESTABLISHMENT BASED
139       11/27/2023  11/27/2023         AMZN Mktp US*8Q2EW9UQ3            Shopping        Sale   -28.17   NaN           ONLINE_PURCHASE                                                                      ONLINE_PURCHASE. THE DESCRIPTION "AMZN MKT
140       11/26/2023  11/27/2023                 TST* ZIPS CAFE        Food & Drink        Sale   -40.47   NaN                RESTAURANT                                                                                                      RESTAURANT
141       11/26/2023  11/27/2023         AMZN Mktp US*NI53N1XV3            Shopping        Sale   -45.65   NaN                 NO_ANSWER                                                          BASED ON THE TRANSACTION DESCRIPTION "AMZN MKTP US*NI5
142       11/24/2023  11/26/2023                   KROGER #5408           Groceries      Return     3.99   NaN                   GROCERY                                                                                                         GROCERY
143       11/26/2023  11/26/2023                CHIPOTLE ONLINE        Food & Drink        Sale   -53.44   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
144       11/25/2023  11/26/2023                         KROGER           Groceries        Sale   -71.34   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
145       11/24/2023  11/26/2023                 ZAP*ZAPPOS.COM            Shopping      Return    30.53   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
146       11/24/2023  11/26/2023                     Amazon.com            Shopping      Return    12.27   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
147       11/24/2023  11/26/2023                         KROGER           Groceries        Sale  -128.09   NaN                 NO_ANSWER         THE DESCRIPTION PROVIDED DOES NOT CONTAIN ENOUGH INFORMATION TO DETERMINE THE EXACT CATEGORY, BUT GIVEN
148       11/23/2023  11/26/2023          SHELL OIL 12547826003                 Gas        Sale   -21.56   NaN  GAS_OR_CONVENIENCE_STORE                                                                                        GAS_OR_CONVENIENCE_STORE
149       11/25/2023  11/26/2023              MACYS  KENWOOD TC            Shopping        Sale   -32.33   NaN              RETAIL_STORE                                                                                                    RETAIL_STORE
150       11/25/2023  11/26/2023         AMZN Mktp US*0T3RW7K53            Shopping        Sale   -81.99   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
151       11/26/2023  11/26/2023          Build-A-Bear Workshop            Shopping        Sale   -15.98   NaN                RECREATION                                                            RECREATION. THIS IS BECAUSE BUILD-A-BEAR WORKSHOP IS
152       11/24/2023  11/26/2023      THE WEB EXTREME ENTERTAIN       Entertainment        Sale   -25.00   NaN                RECREATION                                        RECREATION OR MEDICAL, DEPENDING ON WHAT TYPE OF ENTERTAINMENT IT OFFERS
153       11/24/2023  11/26/2023           SONIC DRIVE IN #2572        Food & Drink        Sale   -10.98   NaN                RESTAURANT                                                                                                      RESTAURANT
154       11/25/2023  11/26/2023         AMZN Mktp US*P43IN0E43            Shopping        Sale   -22.40   NaN           ONLINE_PURCHASE                                                                                                 ONLINE_PURCHASE
